region,sector,0
USA,Mining and Quarrying,7.3688803346613e-05
USA,Food & Beverages,5.0458790559501404e-05
USA,Textiles and Wearing Apparel,1.801624814757355e-05
USA,Wood and Paper,0.00015280837895534596
USA,"Petroleum, Chemical and Non-Metallic Mineral Products",0.0004978594209669967
USA,Metal Products,0.00033841398442442926
USA,Electrical and Machinery,0.00107459457211888
USA,Transport Equipment,0.0002349162363970311
USA,Other Manufacturing,8.969429324837949e-05
USA,Recycling,3.9420246853499624e-08
USA,"Electricity, Gas and Water",5.3331432310062966e-05
USA,Construction,9.127565678748115e-05
USA,Maintenance and Repair,2.9647107584239466e-05
USA,Wholesale Trade,0.0013157640393829874
USA,Retail Trade,0.00019866124987961934
USA,Hotels and Restraurants,0.00011214896130420411
USA,Transport,0.0002697010644080135
USA,Post and Telecommunications,0.00045804621565751554
USA,Finacial Intermediation and Business Activities,0.0017085907287169634
USA,Public Administration,1.7722991407735794e-05
USA,"Education, Health and Other Services",8.550980752040574e-05
USA,Private Households,4.0994150416688146e-07
USA,Others,4.7703604542221285e-06
USA,Re-export & Re-import,5.582512902863075e-13
ATG,Agriculture,4.455093389328233e-09
ATG,Fishing,2.029045152957368e-09
ATG,Mining and Quarrying,5.978437278515206e-09
ATG,Food & Beverages,2.2807353953337285e-09
ATG,Textiles and Wearing Apparel,3.1104280610080656e-09
ATG,Wood and Paper,4.968384872983541e-09
ATG,"Petroleum, Chemical and Non-Metallic Mineral Products",7.54278796082616e-09
ATG,Metal Products,1.1790621586061429e-08
ATG,Electrical and Machinery,1.0989896053209956e-08
ATG,Transport Equipment,1.4023668684101488e-08
ATG,Other Manufacturing,3.056238369559139e-09
ATG,Recycling,2.2537889049778617e-10
ATG,"Electricity, Gas and Water",1.3240381376458121e-08
ATG,Construction,1.4486203877184866e-07
ATG,Maintenance and Repair,2.6509343411641442e-08
ATG,Wholesale Trade,1.0976946974660343e-07
ATG,Retail Trade,5.1737580699410935e-08
ATG,Hotels and Restraurants,5.989394748793906e-08
ATG,Transport,9.231836157170898e-08
ATG,Post and Telecommunications,6.022898291771253e-08
ATG,Finacial Intermediation and Business Activities,6.347895872703887e-08
ATG,Public Administration,2.4649186668114364e-08
ATG,"Education, Health and Other Services",6.166389872629728e-08
ATG,Private Households,1.1187803405564438e-08
ATG,Others,2.2812775958691786e-09
ATG,Re-export & Re-import,8.046374904647345e-13
PYF,Agriculture,3.648215286261832e-08
PYF,Fishing,1.8945466814559873e-08
PYF,Mining and Quarrying,9.830026095944798e-09
PYF,Food & Beverages,2.5232490167234682e-08
PYF,Textiles and Wearing Apparel,1.0178526939494565e-08
PYF,Wood and Paper,4.191813613384071e-08
PYF,"Petroleum, Chemical and Non-Metallic Mineral Products",3.1252702405876086e-08
PYF,Metal Products,4.4374653034967615e-08
PYF,Electrical and Machinery,4.1861477957586506e-08
PYF,Transport Equipment,1.048781958232063e-08
PYF,Other Manufacturing,6.049413809762516e-08
PYF,Recycling,9.930590613518402e-10
PYF,"Electricity, Gas and Water",1.695265452396354e-08
PYF,Construction,5.3858561007269655e-08
PYF,Maintenance and Repair,3.172242235471108e-08
PYF,Wholesale Trade,1.7800660048654212e-07
PYF,Retail Trade,6.194817778240036e-08
PYF,Hotels and Restraurants,4.3836729966120857e-08
PYF,Transport,2.1405505563336442e-07
PYF,Post and Telecommunications,9.355404835073622e-08
PYF,Finacial Intermediation and Business Activities,2.812596188568515e-07
PYF,Public Administration,3.4968429692025045e-08
PYF,"Education, Health and Other Services",9.112545682330692e-08
PYF,Private Households,2.8693769985630058e-08
PYF,Others,6.287850852556245e-09
PYF,Re-export & Re-import,1.851507568592008e-12
OMN,Agriculture,5.14032087062187e-08
OMN,Fishing,9.020173995501899e-08
OMN,Mining and Quarrying,3.7460789873519766e-06
OMN,Food & Beverages,9.861258149748783e-08
OMN,Textiles and Wearing Apparel,4.773913066432863e-08
OMN,Wood and Paper,8.494619699417281e-08
OMN,"Petroleum, Chemical and Non-Metallic Mineral Products",4.1804099002711733e-07
OMN,Metal Products,2.4357518916543054e-07
OMN,Electrical and Machinery,4.955705310264825e-07
OMN,Transport Equipment,4.41115436374248e-08
OMN,Other Manufacturing,3.73939576534801e-08
OMN,Recycling,1.702710508428931e-08
OMN,"Electricity, Gas and Water",4.24287772984309e-07
OMN,Construction,2.6854248778892047e-07
OMN,Maintenance and Repair,5.17242575775812e-08
OMN,Wholesale Trade,4.4866547226944107e-07
OMN,Retail Trade,1.5727941002664696e-07
